Name,Value,Start,Size,Color
uchar ovl_Effect_Ss_G_Spk[1552],,D60560h,610h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_G_Splash[1200],,D60B70h,4B0h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Hahen[1888],,D61020h,760h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_HitMark[1456],,D61780h,5B0h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Ice_Piece[1264],,D61D30h,4F0h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Ice_Smoke[1472],,D62220h,5C0h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_K_Fire[1232],,D627E0h,4D0h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Kakera[4496],,D62CB0h,1190h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_KiraKira[1760],,D63E40h,6E0h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Lightning[1856],,D64520h,740h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Sibuki[1840],,D64C60h,730h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Sibuki2[976],,D65390h,3D0h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Solder_Srch_Ball[416],,D65760h,1A0h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Stick[1072],,D65900h,430h,Fg: Bg:0xFFFFC4
uchar ovl_Effect_Ss_Stone1[1056],,D65D30h,420h,Fg: Bg:0xFFFFC4
uchar ovl_Elf_Msg[3040],,D66150h,BE0h,Fg: Bg:0xFFFFC4
uchar ovl_Elf_Msg2[2080],,D66D30h,820h,Fg: Bg:0xFFFFC4
uchar ovl_En_Am[9296],,D67550h,2450h,Fg: Bg:0xFFFFC4
uchar ovl_En_Ani[3504],,D699A0h,DB0h,Fg: Bg:0xFFFFC4
uchar ovl_En_Anubice[5248],,D6A750h,1480h,Fg: Bg:0xFFFFC4
uchar ovl_En_Anubice_Fire[3680],,D6BBD0h,E60h,Fg: Bg:0xFFFFC4
uchar ovl_En_Anubice_Tag[976],,D6CA30h,3D0h,Fg: Bg:0xFFFFC4
uchar ovl_En_Arow_Trap[336],,D6CE00h,150h,Fg: Bg:0xFFFFC4
uchar ovl_En_Arrow[6112],,D6CF50h,17E0h,Fg: Bg:0xFFFFC4
uchar ovl_En_Attack_Niw[4688],,D6E730h,1250h,Fg: Bg:0xFFFFC4
uchar ovl_En_Ba[8080],,D6F980h,1F90h,Fg: Bg:0xFFFFC4
uchar ovl_En_Bb[15696],,D71910h,3D50h,Fg: Bg:0xFFFFC4
uchar ovl_En_Bdfire[3120],,D75660h,C30h,Fg: Bg:0xFFFFC4
uchar ovl_En_Bigokuta[11328],,D76290h,2C40h,Fg: Bg:0xFFFFC4
uchar ovl_En_Bili[8976],,D78ED0h,2310h,Fg: Bg:0xFFFFC4
uchar ovl_En_Bird[1200],,D7B1E0h,4B0h,Fg: Bg:0xFFFFC4
uchar ovl_En_Blkobj[1648],,D7B690h,670h,Fg: Bg:0xFFFFC4
uchar ovl_En_Bom[3936],,D7BD00h,F60h,Fg: Bg:0xFFFFC4
uchar ovl_En_Bom_Bowl_Man[6160],,D7CC60h,1810h,Fg: Bg:0xFFFFC4
uchar ovl_En_Bom_Bowl_Pit[2544],,D7E470h,9F0h,Fg: Bg:0xFFFFC4
uchar ovl_En_Bom_Chu[5936],,D7EE60h,1730h,Fg: Bg:0xFFFFC4
uchar ovl_En_Bombf[5408],,D80590h,1520h,Fg: Bg:0xFFFFC4
uchar ovl_En_Boom[2368],,D81AB0h,940h,Fg: Bg:0xFFFFC4
uchar ovl_En_Box[7488],,D823F0h,1D40h,Fg: Bg:0xFFFFC4
uchar ovl_En_Brob[4336],,D84130h,10F0h,Fg: Bg:0xFFFFC4
uchar ovl_En_Bubble[5232],,D85220h,1470h,Fg: Bg:0xFFFFC4
uchar ovl_En_Butte[5744],,D86690h,1670h,Fg: Bg:0xFFFFC4
uchar ovl_En_Bw[13312],,D87D00h,3400h,Fg: Bg:0xFFFFC4
uchar ovl_En_Bx[2992],,D8B100h,BB0h,Fg: Bg:0xFFFFC4
uchar ovl_En_Changer[3872],,D8BCB0h,F20h,Fg: Bg:0xFFFFC4
uchar ovl_En_Clear_Tag[36384],,D8CBD0h,8E20h,Fg: Bg:0xFFFFC4
uchar ovl_En_Cow[5184],,D959F0h,1440h,Fg: Bg:0xFFFFC4
uchar ovl_En_Crow[5744],,D96E30h,1670h,Fg: Bg:0xFFFFC4
uchar ovl_En_Cs[4736],,D984A0h,1280h,Fg: Bg:0xFFFFC4
uchar ovl_En_Daiku[6128],,D99720h,17F0h,Fg: Bg:0xFFFFC4
uchar ovl_En_Daiku_Kakariko[5296],,D9AF10h,14B0h,Fg: Bg:0xFFFFC4
uchar ovl_En_Dekubaba[15760],,D9C3C0h,3D90h,Fg: Bg:0xFFFFC4
uchar ovl_En_Dekunuts[6112],,DA0150h,17E0h,Fg: Bg:0xFFFFC4
uchar ovl_En_Dh[6976],,DA1930h,1B40h,Fg: Bg:0xFFFFC4
uchar ovl_En_Dha[4080],,DA3470h,FF0h,Fg: Bg:0xFFFFC4
uchar ovl_En_Diving_Game[6880],,DA4460h,1AE0h,Fg: Bg:0xFFFFC4
uchar ovl_En_Dns[5520],,DA5F40h,1590h,Fg: Bg:0xFFFFC4
uchar ovl_En_Dnt_Demo[4608],,DA74D0h,1200h,Fg: Bg:0xFFFFC4
uchar ovl_En_Dnt_Jiji[6112],,DA86D0h,17E0h,Fg: Bg:0xFFFFC4
uchar ovl_En_Dnt_Nomal[12544],,DA9EB0h,3100h,Fg: Bg:0xFFFFC4
uchar ovl_En_Dodojr[7824],,DACFB0h,1E90h,Fg: Bg:0xFFFFC4
uchar ovl_En_Dodongo[11648],,DAEE40h,2D80h,Fg: Bg:0xFFFFC4
